"Name deutsch","Name englisch","URL der Einrichtung","Einrichtungsart","DFG Instituts ID","GRID ID","span"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Franz-Penzoldt-Zentrum"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Medizinische Fakultät"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Naturwissenschaftliche Fakultät"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Optical Imaging Centre Erlangen (OICE)"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Philosophische Fakultät und Fachbereich Theologie"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Rechts- und Wirtschaftswissenschaftliche Fakultät"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Technische Fakultät"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Universitätsarchiv"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Universitätsbibliothek"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Universitätsklinikum Erlangen"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut Anthropologie der Religion(en) (ZAR)"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut für Lehr-Lernforschung (ZiLL)"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut für Medizintechnik (ZIMT)"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut für Neue Materialien und Prozesstechnik"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut für Regionenforschung"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut für Scientific Computing (ZISC)"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentralinstitut für Wissenschaftsreflexion und Schlüsselqualifikationen (ZiWiS)"
"Friedrich-Alexander-Universität Erlangen-Nürnberg","Friedrich-Alexander-Universität Erlangen-Nürnberg","www.fau.de/","Universität",10115,"grid.5330.5","Zentrum für Medizinische Physik und Technik"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Abteilung für experimentelle Tierhaltung und Biosicherheit (ATB)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Fachinstitut für Internationale Tiergesundheit / One Health"
